鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
三峽區,房地(土地+建物)+車位,新北市三峽區學成路121~150號,13.2,住,Missing,Missing,1090115,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960409,121.52000000000001,2,2,1,有,有,12500000,102864,坡道平面,32.82,0,親友、員工或其他特殊關係間之交易。;,RPORMLRJMHPFFIF76CA
泰山區,房地(土地+建物)+車位,新北市泰山區泰林路二段451~480號,25.43,住,Missing,Missing,1090119,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951215,138.66,3,2,2,有,有,10800000,83996,坡道平面,27.94,1500000,含增建或未登記建物。,RPSNMLMJMHPFFBF28DA
桃園區,房地(土地+建物)+車位,桃園市桃園區民安路73巷1~30號,48.79,住,Missing,Missing,1090218,土地1建物2車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780123,274.19,4,2,3,有,有,10100000,36836,坡道平面,29.85,0,Missing,RPQOMLOLLHPFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔二街31~60號,15.36,住,Missing,Missing,1090226,土地1建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940425,176.38,4,2,2,有,有,13500000,76539,坡道平面,0.0,0,Missing,RPURMLOLLHPFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區敬三街190巷1~30號,18.72,住,Missing,Missing,1090217,土地1建物2車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,142.67,3,2,2,有,有,7000000,49064,坡道平面,0.0,0,Missing,RPXTMLOLLHPFFAH07CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐五街1~30號,25.38,住,Missing,Missing,1090222,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961030,160.47,3,2,2,有,有,9310000,58017,坡道平面,0.0,0,Missing,RPPNMLPLLHPFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路61~90號,21.36,住,Missing,Missing,1090313,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081015,160.60000000000002,3,2,2,有,有,12570000,80355,坡道平面,26.57,1800000,Missing,RPWNMLQLLHPFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路1~30號,10.48,住,Missing,Missing,1090306,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081015,90.75999999999999,1,2,1,有,有,6500000,74778,坡道平面,26.57,1700000,Missing,RPQNMLRLLHPFFAH68CA
桃園區,房地(土地+建物),桃園市桃園區寶山街58巷1~30號,17.9,住,Missing,Missing,1090309,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830820,119.03,3,1,2,有,有,5000000,42006,Missing,0.0,0,Missing,RPXNMLRLLHPFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路86巷1~30號,27.34,住,Missing,Missing,1090207,土地1建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070709,195.36,3,2,2,有,有,13000000,76603,坡道平面,75.26,3800000,Missing,RPTPMLRLLHPFFAH56CA
